epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,280.075,1.8271,1.35466,1.30895,0.74015,0.68892,0.74577,0.33143,1.79906,1.29887,1.37754,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,284.254,1.80703,1.3087,1.29493,0.7451,0.68699,0.74627,0.33244,1.79976,1.29744,1.37623,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,287.465,1.77138,1.31006,1.29593,0.72372,0.69746,0.74019,0.33039,1.80016,1.29873,1.37468,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,289.914,1.81198,1.32564,1.29495,0.72372,0.69746,0.74019,0.33039,1.80016,1.29873,1.37468,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,291.832,1.75497,1.31806,1.30317,0.72295,0.69512,0.73576,0.3295,1.8033,1.30129,1.37524,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,294.575,1.78302,1.30783,1.29021,0.72276,0.69106,0.73786,0.32998,1.80318,1.3005,1.37517,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,298.798,1.86302,1.33588,1.29153,0.72315,0.69512,0.74643,0.32937,1.80307,1.29865,1.37436,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,301.611,1.79425,1.36045,1.33076,0.72315,0.69512,0.74643,0.32937,1.80307,1.29865,1.37436,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,305.466,1.80766,1.28809,1.27948,0.72742,0.69972,0.74635,0.32729,1.80146,1.29927,1.37339,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,340.625,1.75088,1.38682,1.29446,0.70531,0.71748,0.74585,0.32823,1.79748,1.30029,1.3714,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,342.6,1.76048,1.38628,1.32728,0.73791,0.68902,0.74451,0.32739,1.79366,1.30294,1.37,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,344.347,1.77094,1.39955,1.30536,0.73791,0.68902,0.74451,0.32739,1.79366,1.30294,1.37,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,346.184,1.76622,1.37984,1.30289,0.72544,0.68699,0.74048,0.32726,1.79166,1.30576,1.36662,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,348.046,1.74406,1.37631,1.30328,0.74099,0.68612,0.73936,0.32814,1.78679,1.30889,1.36274,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,349.866,1.74182,1.37911,1.29456,0.73163,0.69816,0.73685,0.329,1.78391,1.31365,1.35991,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,351.572,1.78316,1.42977,1.32685,0.73163,0.69816,0.73685,0.329,1.78391,1.31365,1.35991,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,353.435,1.75526,1.35486,1.30718,0.71774,0.70528,0.73221,0.32418,1.78372,1.31817,1.35882,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,355.341,1.72344,1.35519,1.29797,0.70975,0.72066,0.73022,0.32351,1.78248,1.32183,1.35829,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,357.185,1.74027,1.38166,1.32145,0.7081,0.71001,0.72914,0.32294,1.78379,1.32564,1.35921,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
